Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 2057 - Merchant Order ID: 701-5825429-4352236
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 2056 - Merchant Order ID: 701-5825429-4352236
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2053 - Merchant Order ID: 701-8089085-5270639
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 2052 - Merchant Order ID: 701-8089085-5270639
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2051 - Merchant Order ID: 701-8089085-5270639
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2065 - Merchant Order ID: 702-2800899-0478648
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 2066 - Merchant Order ID: 702-2800899-0478648
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2067 - Merchant Order ID: 702-2800899-0478648
2025-10-11,24596907561,both,Amazon Advertising Expense,ServiceFee/Cost of Advertising/TaxAmount,501.55,0.0,Row ID: 2116 - Merchant Order ID: nan
2025-10-11,24596907561,both,Amazon.ca Clearing,Bank Deposit on 2025-10-11,8510.08,3894.24,Row ID: 1431 - Merchant Order ID: nan
2025-10-11,24596907561,both,Amazon Combined Tax Charged,Combined GST and PST charged on line # 1907,0.0,60.01,Row ID: 1907 - Merchant Order ID: nan
2025-10-11,24596907561,both,Amazon Combined Tax Charged,Combined GST and PST charged on line # 1906,0.0,21.7,Row ID: 1906 - Merchant Order ID: nan
2025-10-11,24596907561,both,Amazon Combined Tax Charged,Combined GST and PST charged on line # 2031,0.0,60.64,Row ID: 2031 - Merchant Order ID: nan
2025-10-11,24596907561,both,Amazon Combined Tax Charged,Combined GST and PST charged on line # 2116,0.0,60.19,Row ID: 2116 - Merchant Order ID: nan
